detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
ORB, BRISK, 6, 0.00546328, 500, 130, 56.7683, 646.396, 0.155667, 92, 0.161131
ORB, BRISK, 7, 0.00542134, 500, 129, 55.4296, 611.86, 0.156536, 90, 0.161957
ORB, BRISK, 8, 0.00565906, 500, 127, 54.6723, 638.084, 0.156151, 88, 0.16181
ORB, BRISK, 9, 0.00543666, 500, 128, 54.3885, 560.291, 0.155781, 91, 0.161218
ORB, BRIEF, 0, 0.00535548, 500, 92, 57.0723, 661.073, 0.000277041, 0, 0.00563252
ORB, BRIEF, 1, 0.00535693, 500, 102, 57.2273, 680.59, 0.000296556, 49, 0.00565349
ORB, BRIEF, 2, 0.0053165, 500, 106, 56.4948, 672.109, 0.000265266, 43, 0.00558176
ORB, BRIEF, 3, 0.00550713, 500, 113, 55.1436, 629.784, 0.000311279, 45, 0.00581841
ORB, BRIEF, 4, 0.00532449, 500, 109, 56.7442, 625.649, 0.000318319, 59, 0.00564281
ORB, BRIEF, 5, 0.00550079, 500, 125, 56.6367, 596.796, 0.000328739, 53, 0.00582953
ORB, BRIEF, 6, 0.00555325, 500, 130, 56.7683, 646.396, 0.000399579, 78, 0.00595283
ORB, BRIEF, 7, 0.00537836, 500, 129, 55.4296, 611.86, 0.000371426, 68, 0.00574979
ORB, BRIEF, 8, 0.00551285, 500, 127, 54.6723, 638.084, 0.000302377, 84, 0.00581523
ORB, BRIEF, 9, 0.00570347, 500, 128, 54.3885, 560.291, 0.000313446, 66, 0.00601692
ORB, ORB, 0, 0.00535627, 500, 92, 57.0723, 661.073, 0.00823204, 0, 0.0135883
ORB, ORB, 1, 0.00542856, 500, 102, 57.2273, 680.59, 0.0087952, 65, 0.0142238
ORB, ORB, 2, 0.00530994, 500, 106, 56.4948, 672.109, 0.00812933, 69, 0.0134393
ORB, ORB, 3, 0.00525996, 500, 113, 55.1436, 629.784, 0.00815392, 71, 0.0134139
ORB, ORB, 4, 0.00535776, 500, 109, 56.7442, 625.649, 0.00823394, 85, 0.0135917
ORB, ORB, 5, 0.00539755, 500, 125, 56.6367, 596.796, 0.00828891, 91, 0.0136865
ORB, ORB, 6, 0.00527957, 500, 130, 56.7683, 646.396, 0.00850851, 101, 0.0137881
ORB, ORB, 7, 0.00530731, 500, 129, 55.4296, 611.86, 0.00837836, 95, 0.0136857
ORB, ORB, 8, 0.00563033, 500, 127, 54.6723, 638.084, 0.00838564, 93, 0.014016
ORB, ORB, 9, 0.00543225, 500, 128, 54.3885, 560.291, 0.00837905, 91, 0.0138113
ORB, FREAK, 0, 0.00546989, 500, 92, 57.0723, 661.073, 0.0216928, 0, 0.0271627
ORB, FREAK, 1, 0.00552179, 500, 102, 57.2273, 680.59, 0.0204077, 42, 0.0259295
ORB, FREAK, 2, 0.00554255, 500, 106, 56.4948, 672.109, 0.02105, 36, 0.0265926
ORB, FREAK, 3, 0.00525808, 500, 113, 55.1436, 629.784, 0.0197931, 44, 0.0250512
ORB, FREAK, 4, 0.00532362, 500, 109, 56.7442, 625.649, 0.019674, 47, 0.0249976
ORB, FREAK, 5, 0.00535772, 500, 125, 56.6367, 596.796, 0.0201818, 44, 0.0255395
ORB, FREAK, 6, 0.00566494, 500, 130, 56.7683, 646.396, 0.0205232, 51, 0.0261881
ORB, FREAK, 7, 0.00485131, 500, 129, 55.4296, 611.86, 0.0200499, 52, 0.0249012
ORB, FREAK, 8, 0.00592364, 500, 127, 54.6723, 638.084, 0.0201474, 48, 0.026071
ORB, FREAK, 9, 0.00598085, 500, 128, 54.3885, 560.291, 0.019804, 56, 0.0257849
ORB, SIFT, 0, 0.00544847, 500, 92, 57.0723, 661.073, 0.0196792, 0, 0.0251276
ORB, SIFT, 1, 0.00542822, 500, 102, 57.2273, 680.59, 0.0208608, 76, 0.026289
ORB, SIFT, 2, 0.0054947, 500, 106, 56.4948, 672.109, 0.0194603, 87, 0.024955
ORB, SIFT, 3, 0.00542468, 500, 113, 55.1436, 629.784, 0.0199952, 88, 0.0254199
ORB, SIFT, 4, 0.00545935, 500, 109, 56.7442, 625.649, 0.0201211, 91, 0.0255805
ORB, SIFT, 5, 0.00555709, 500, 125, 56.6367, 596.796, 0.0194827, 89, 0.0250397
ORB, SIFT, 6, 0.00538782, 500, 130, 56.7683, 646.396, 0.0200652, 104, 0.025453
ORB, SIFT, 7, 0.00553882, 500, 129, 55.4296, 611.86, 0.0223186, 105, 0.0278574
ORB, SIFT, 8, 0.00553226, 500, 127, 54.6723, 638.084, 0.0224186, 101, 0.0279508
ORB, SIFT, 9, 0.00549328, 500, 128, 54.3885, 560.291, 0.0216388, 104, 0.0271321
AKAZE, BRISK, 0, 0.0438395, 1351, 166, 7.72918, 15.3807, 0.155108, 0, 0.198947
AKAZE, BRISK, 1, 0.0403804, 1327, 157, 7.49021, 12.4225, 0.153196, 137, 0.193576
AKAZE, BRISK, 2, 0.0429823, 1311, 161, 7.45212, 12.6221, 0.156208, 125, 0.19919
AKAZE, BRISK, 3, 0.0395974, 1351, 155, 7.57523, 11.9644, 0.159703, 129, 0.1993
AKAZE, BRISK, 4, 0.0409907, 1360, 163, 7.73319, 11.8184, 0.153473, 129, 0.194464
AKAZE, BRISK, 5, 0.038349, 1347, 164, 7.68804, 11.4138, 0.153944, 131, 0.192293
AKAZE, BRISK, 6, 0.0362296, 1363, 173, 7.73879, 11.7812, 0.155497, 132, 0.191726
AKAZE, BRISK, 7, 0.037628, 1331, 175, 7.82613, 12.3183, 0.154624, 142, 0.192252
AKAZE, BRISK, 8, 0.0409138, 1358, 177, 7.81556, 12.2047, 0.155407, 146, 0.196321
AKAZE, BRISK, 9, 0.0395376, 1331, 179, 7.88576, 12.9699, 0.157811, 144, 0.197348
AKAZE, BRIEF, 0, 0.0383367, 1351, 166, 7.72918, 15.3807, 0.000472022, 0, 0.0388087
AKAZE, BRIEF, 1, 0.0592496, 1327, 157, 7.49021, 12.4225, 0.000452501, 141, 0.0597021
AKAZE, BRIEF, 2, 0.0410934, 1311, 161, 7.45212, 12.6221, 0.000841535, 134, 0.0419349
AKAZE, BRIEF, 3, 0.0407672, 1351, 155, 7.57523, 11.9644, 0.00125223, 131, 0.0420194
AKAZE, BRIEF, 4, 0.0634151, 1360, 163, 7.73319, 11.8184, 0.000454522, 130, 0.0638696
